                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6554,                 2.0076,                 1.7761,                0.28261,                0.24898,                0.18387,                0.08992,                 2.1387,                 2.5418,                  2.367,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.6846,                 2.0427,                 1.8015,                0.38065,                0.19323,                0.17766,                0.08672,                  2.123,                 2.5226,                 2.3123,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.6424,                  1.995,                 1.7645,                0.37408,                0.24686,                0.20971,                0.09796,                 2.0932,                 2.4381,                 2.3274,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.5767,                 1.9347,                 1.7191,                 0.3534,                0.25825,                0.20159,                0.09453,                 2.1291,                 2.4743,                 2.3735,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.6152,                 1.9778,                 1.7403,                0.35466,                0.23722,                0.17489,                0.08912,                 2.1295,                 2.6065,                 2.3372,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.6125,                 2.0035,                 1.7578,                0.36023,                0.24291,                0.18398,                0.08432,                 2.2547,                 2.5936,                 2.3828,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.6471,                 1.9384,                   1.74,                0.40957,                0.23695,                0.19757,                0.09532,                 2.2408,                 2.4714,                 2.3914,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.6346,                 1.9748,                 1.7458,                0.37855,                0.25266,                0.19661,                0.09454,                 2.1247,                 2.4876,                  2.289,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.5879,                 1.9375,                 1.7196,                0.41446,                0.25045,                0.20152,                0.09511,                 2.1219,                 2.4824,                 2.3087,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.6272,                  2.046,                 1.7614,                0.41854,                0.23534,                0.20013,                 0.0984,                  2.096,                 2.4088,                 2.2863,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.5505,                 1.9094,                 1.6821,                0.45412,                0.23833,                0.20408,                0.10352,                 2.0537,                 2.4215,                  2.279,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.6349,                 1.9885,                 1.7508,                0.43146,                0.23745,                0.20639,                0.09952,                 2.0528,                 2.4373,                 2.2927,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.5977,                 1.9059,                 1.7409,                0.36592,                0.24057,                0.19148,                0.09291,                  2.065,                 2.4766,                 2.3042,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.5941,                 1.9393,                 1.7332,                0.33478,                0.23795,                0.18996,                0.09003,                 2.0352,                 2.4696,                  2.318,             0.00090785,             0.00090785,             0.00090785
